Protein,Interaction,Drug,Scores
CACNA1A,PD,D00332,0.7753
CACNA1A,PD,D01908,0.7651
CACNA1A,PD,D07447,0.762
CACNA1A,PD,D00618,0.7583
CACNA1A,PD,D00629,0.7194
CACNA1A,PD,D00354,0.7185
CAMK1,PD,D08552,0.7679
CAMK2A,PD,D09868,0.7551
CATSPER1,PD,D00437,0.741
CATSPER1,PD,D07447,0.7294
CATSPER1,PD,D00332,0.7273
CHRNA4,PD,D02364,1
CHRNA4,PD,D08138,0.9664
CHRNA4,PD,D02202,0.9629
CHRNA4,PD,D00999,0.7984
CHRNA4,PD,D04292,0.7272
CHRNA4,PD,D03365,0.7233
CHRNA7,PD,D02364,0.8114
CHRNA7,PD,D08138,0.7817
CHRNA7,PD,D02202,0.7783
CLPP,PD,D00043,0.7649
COQ6,PD,D00542,0.7658
COQ6,PD,D00265,0.7427
CSK,PD,D05399,0.711
CYP3A5,PD,D00427,0.8911
CYP3A5,PD,D00225,0.8857
CYP3A5,PD,D00265,0.8668
CYP3A5,PD,D00252,0.8654
CYP3A5,PD,D00542,0.8652
CYP3A5,PD,D00394,0.8583
CYP3A5,PD,D00319,0.8386
CYP3A5,PD,D00434,0.8095
CYP3A5,PD,D00139,0.8081
CYP3A5,PD,D01071,0.7816
CYP3A5,PD,D02386,0.7608
CYP3A5,PD,D00395,0.7513
CYP3A5,PD,D00437,0.748
CYP3A5,PD,D00574,0.7387
CYP3A5,PD,D00066,0.7272
CYP3A5,PD,D03670,0.7268
CYP3A5,PD,D00355,0.7234
CYP3A5,PD,D08086,0.7147
CYP3A5,PD,D00343,0.7092
DDR1,PD,D08279,0.7908
DDR1,PD,D09635,0.7767
DDR1,PD,D03736,0.7022
DRD1,PD,D01321,0.8286
DRD1,PD,D00454,0.7942
DRD1,PD,D00282,0.7936
DRD1,PD,D08456,0.7903
DRD1,PD,D00373,0.7612
DRD1,PD,D00136,0.7523
DRD1,PD,D02629,0.7461
DRD1,PD,D00283,0.7448
DRD1,PD,D01478,0.7295
DRD1,PD,D00228,0.727
DRD1,PD,D00426,0.7243
DRD1,PD,D00561,0.7236
DRD1,PD,D07218,0.7229
DRD1,PD,D08636,0.7174
DRD1,PD,D08216,0.7161
DRD1,PD,D00270,0.7114
DRD1,PD,D07977,0.705
DRD1,PD,D08687,0.7007
DRD1,PD,D00493,0.7005
EEF1B2,PD,D07447,0.7962
EGFR,PD,D05399,1
EGFR,PD,D06407,1
EGFR,PD,D08950,0.92
EGFR,PD,D03658,0.8934
EGFR,PD,D03252,0.872
EGFR,PD,D01977,0.8612
EGFR,PD,D08066,0.8599
EGFR,PD,D03350,0.7391
EPHB1,PD,D06407,0.7431
ERBB2,PD,D05399,1
ERBB2,PD,D08950,0.8287
ERBB2,PD,D06407,0.8041
ERBB2,PD,D01977,0.783
ERBB2,PD,D03658,0.7223
ERBB2,PD,D03350,0.7216
ERBB2,PD,D03252,0.7167
ERBB3,PD,D05399,0.7004
ERBB4,PD,D05399,0.7235
ESR1,PD,D00105,1
ESR1,PD,D00577,1
ESR1,PD,D08465,1
ESR1,PD,D00859,0.9741
ESR1,PD,D00951,0.9584
ESR1,PD,D00066,0.9528
ESR1,PD,D02217,0.9331
ESR1,PD,D08559,0.8876
ESR1,PD,D01953,0.8501
ESR1,PD,D00185,0.8399
ESR1,PD,D00554,0.8357
ESR1,PD,D00075,0.8306
ESR1,PD,D07121,0.8306
ESR1,PD,D09571,0.7909
ESR1,PD,D06551,0.789
ESR1,PD,D00585,0.7857
ESR1,PD,D07726,0.776
ESR1,PD,D00966,0.7725
ESR1,PD,D07918,0.7532
ESR1,PD,D00408,0.7381
ESR1,PD,D00067,0.7349
ESR1,PD,D00289,0.7336
ESR1,PD,D07456,0.7302
ESR1,PD,D00179,0.7259
ESR1,PD,D04041,0.7181
ESR2,PD,D00105,0.7347
ESR2,PD,D00577,0.7109
ESR2,PD,D00859,0.7034
F12,PD,D00043,0.8415
F12,PD,D07606,0.7242
FES,PD,D08279,0.8644
FES,PD,D08552,0.7
FGFR1,PD,D09635,0.9137
FGFR1,PD,D03736,0.7966
FGFR1,PD,D08524,0.7455
FGFR1,PD,D08279,0.7028
FGFR2,PD,D09635,0.7371
FGFR3,PD,D08279,0.7836
FLT1,PD,D09635,1
FLT1,PD,D03736,0.9656
FLT1,PD,D08524,0.8919
FLT1,PD,D08279,0.8488
FLT1,PD,D08552,0.7493
