Protein,Interaction,Drug,Scores
GABRA2,PD,D00387,0.9772
GABRA2,PD,D00500,0.9706
GABRA2,PD,D07784,0.9698
GABRA2,PD,D00464,0.964
GABRA2,PD,D00329,0.9627
GABRA2,PD,D00696,0.9562
GABRA2,PD,D00550,0.9528
GABRA2,PD,D00311,0.9504
GABRA2,PD,D00280,0.9496
GABRA2,PD,D00365,0.9466
GABRA2,PD,D00267,0.9432
GABRA2,PD,D00714,0.9429
GABRA2,PD,D00225,0.9425
GABRA2,PD,D00506,0.9281
GABRA2,PD,D00470,0.9221
GABRA2,PD,D00370,0.9218
GABRA2,PD,D00531,0.9192
GABRA2,PD,D01279,0.918
GABRA2,PD,D01593,0.9136
GABRA2,PD,D01657,0.9108
GABRA2,PD,D00555,0.9095
GABRA2,PD,D08507,0.9058
GABRA2,PD,D02253,0.9052
GABRA2,PD,D01245,0.9042
GABRA2,PD,D00694,0.9004
GABRA2,PD,D03562,0.899
GABRA2,PD,D00695,0.897
GABRA2,PD,D01408,0.897
GABRA2,PD,D00457,0.8941
GABRA2,PD,D02252,0.8911
GABRA2,PD,D01268,0.8899
GABRA2,PD,D02283,0.8899
GABRA2,PD,D01328,0.8884
GABRA2,PD,D00499,0.8856
GABRA2,PD,D01293,0.884
GABRA2,PD,D01292,0.8831
GABRA2,PD,D06106,0.8829
GABRA2,PD,D01758,0.88
GABRA2,PD,D01254,0.8798
GABRA2,PD,D05028,0.8793
GABRA2,PD,D04721,0.8777
GABRA2,PD,D04882,0.871
GABRA2,PD,D07326,0.8697
GABRA2,PD,D00697,0.8682
GABRA2,PD,D08145,0.8672
GABRA2,PD,D01372,0.8654
GABRA2,PD,D00430,0.8649
GABRA2,PD,D03737,0.8649
GABRA2,PD,D01564,0.8632
GABRA2,PD,D01310,0.8612
GABRA2,PD,D01316,0.8605
GABRA2,PD,D08356,0.8591
GABRA2,PD,D08481,0.8581
GABRA2,PD,D02624,0.8424
GABRA2,PD,D00713,0.8423
GABRA2,PD,D08690,0.8407
GABRA2,PD,D07409,0.8401
GABRA2,PD,D03155,0.8388
GABRA2,PD,D01278,0.8378
GABRA2,PD,D00338,0.8328
GABRA2,PD,D01286,0.8284
GABRA2,PD,D10194,0.8265
GABRA2,PD,D00701,0.8235
GABRA2,PD,D00693,0.8223
GABRA2,PD,D07328,0.8219
GABRA2,PD,D01740,0.8211
GABRA2,PD,D01071,0.8173
GABRA2,PD,D00700,0.8162
GABRA2,PD,D01253,0.8126
GABRA2,PD,D00706,0.812
GABRA2,PD,D01514,0.8115
GABRA2,PD,D04282,0.8021
GMNN,PD,D00131,1
GMNN,PD,D00282,1
GMNN,PD,D00298,0.9874
GMNN,PD,D00297,0.9828
GMNN,PD,D00570,0.9777
GMNN,PD,D00112,0.8502
GMNN,PD,D08679,0.8403
GMNN,PD,D03021,0.8162
GMNN,PD,D06114,0.8111
GMNN,PD,D02629,0.8101
GRIN1,PD,D08174,0.8697
GRIN1,PD,D08098,0.8585
GRIN1,PD,D07283,0.8207
GRIN2C,PD,D08174,0.8996
GRIN2C,PD,D08098,0.8837
GRIN2C,PD,D07283,0.8473
GRIN2C,PD,D04905,0.8269
GRIN2C,PD,D08195,0.8206
GRIN2C,PD,D07058,0.805
GRIN2C,PD,D00711,0.801
HDAC1,PD,D00710,0.9499
HDAC1,PD,D00399,0.9373
HDAC1,PD,D00304,0.9351
HDAC1,PD,D08667,0.9351
HDAC10,PD,D00710,0.8656
HDAC10,PD,D00304,0.8528
HDAC10,PD,D08667,0.8528
HDAC10,PD,D00399,0.8498
HDAC2,PD,D00710,0.9602
HDAC2,PD,D00399,0.9476
HDAC2,PD,D00304,0.9453
HDAC2,PD,D08667,0.9453
HDAC3,PD,D00710,0.9034
HDAC3,PD,D00304,0.8897
HDAC3,PD,D08667,0.8897
HDAC3,PD,D00399,0.8865
HDAC5,PD,D00710,0.8645
HDAC5,PD,D00304,0.8519
HDAC5,PD,D08667,0.8519
HDAC5,PD,D00399,0.8486
HDAC6,PD,D00304,0.9851
HDAC6,PD,D08667,0.9851
HDAC6,PD,D00710,0.9765
HDAC6,PD,D00399,0.9519
HDAC6,PD,D10060,0.8392
